Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
309,Apparel Merchandising,Bachelor's,"$42,200 ","$70,800 "
310,Geographic Information Systems (GIS),Bachelor's,"$43,600 ","$70,700 "
311,Criminal Justice Administration,Bachelor's,"$39,700 ","$70,400 "
312 (tie),English & History,Bachelor's,"$41,200 ","$70,300 "
312 (tie),English Language,Bachelor's,"$38,700 ","$70,300 "
312 (tie),Theatre/Theatre Arts Management,Bachelor's,"$40,600 ","$70,300 "
315 (tie),Digital Media,Bachelor's,"$41,200 ","$70,100 "
315 (tie),Neuroscience,Bachelor's,"$41,900 ","$70,100 "
317,Leadership,Bachelor's,"$45,500 ","$69,900 "
318,American History (United States),Bachelor's,"$43,000 ","$69,800 "
319,Speech Pathology & Audiology,Bachelor's,"$38,700 ","$69,700 "
320 (tie),Public Administration,Bachelor's,"$41,300 ","$69,400 "
320 (tie),Radio/Television & Film Production,Bachelor's,"$41,200 ","$69,400 "
322,Law Enforcement,Bachelor's,"$46,700 ","$69,100 "
323 (tie),Broadcast Journalism,Bachelor's,"$38,200 ","$68,700 "
323 (tie),Media Studies,Bachelor's,"$44,500 ","$68,700 "
325,Health Sciences,Bachelor's,"$38,700 ","$68,600 "
326 (tie),Creative Writing,Bachelor's,"$40,200 ","$68,500 "
326 (tie),Human Relations,Bachelor's,"$39,700 ","$68,500 "
328 (tie),Hotel & Restaurant Tourism,Bachelor's,"$42,000 ","$68,400 "
328 (tie),Human Resources (HR),Bachelor's,"$41,900 ","$68,400 "
330 (tie),Animal Science & Management,Bachelor's,"$39,900 ","$68,300 "
330 (tie),Exercise Physiology,Bachelor's,"$38,100 ","$68,300 "
330 (tie),Radiologic Technology,Bachelor's,"$48,500 ","$68,300 "
333,Sports Management,Bachelor's,"$40,000 ","$68,200 "
334,Organizational Leadership,Bachelor's,"$44,200 ","$68,100 "
335,Merchandising,Bachelor's,"$46,700 ","$68,000 "
336 (tie),Health Care Administration,Bachelor's,"$41,100 ","$67,700 "
336 (tie),Visual Communication Design,Bachelor's,"$41,600 ","$67,700 "
338 (tie),Corporate Communications,Bachelor's,"$41,900 ","$67,600 "
338 (tie),Multimedia,Bachelor's,"$38,900 ","$67,600 "
338 (tie),Natural Resource Management,Bachelor's,"$39,400 ","$67,600 "
341,Film Production,Bachelor's,"$42,100 ","$67,300 "
342 (tie),Criminology,Bachelor's,"$40,000 ","$67,200 "
342 (tie),Hotel & Restaurant Management,Bachelor's,"$41,200 ","$67,200 "
342 (tie),Mass Communication,Bachelor's,"$39,800 ","$67,200 "
342 (tie),Medical Laboratory Technology,Bachelor's,"$49,700 ","$67,200 "
346,Liberal Arts,Bachelor's,"$39,100 ","$67,100 "
347 (tie),Broadcast Communication,Bachelor's,"$36,300 ","$67,000 "
347 (tie),Media Communication,Bachelor's,"$40,800 ","$67,000 "
349,Health Care Management,Bachelor's,"$39,300 ","$66,900 "
350,Health Information Management,Bachelor's,"$42,100 ","$66,800 "
351,Diagnostic Medical Imaging,Bachelor's,"$51,900 ","$66,700 "
352,Secondary & Middle School Mathematics Teacher Education,Bachelor's,"$40,500 ","$66,600 "
353,Radiology,Bachelor's,"$46,300 ","$66,500 "
354,Fashion Merchandising,Bachelor's,"$41,700 ","$66,400 "
355 (tie),Art & Design,Bachelor's,"$39,000 ","$66,200 "
355 (tie),Business & Healthcare Management,Bachelor's,"$42,200 ","$66,200 "
357,Management & Leadership,Bachelor's,"$49,600 ","$66,100 "
358,Advertising & Graphic Design,Bachelor's,"$41,800 ","$66,000 "
359,Earth Science,Bachelor's,"$45,600 ","$65,800 "
360 (tie),Humanities,Bachelor's,"$41,300 ","$65,600 "
360 (tie),Spanish Language,Bachelor's,"$41,100 ","$65,600 "
362,Organizational Management,Bachelor's,"$43,500 ","$65,500 "
363 (tie),Art History,Bachelor's,"$41,100 ","$65,400 "
363 (tie),Hospitality & Tourism,Bachelor's,"$38,600 ","$65,400 "
363 (tie),Respiratory Care,Bachelor's,"$50,600 ","$65,400 "
366,Psychology,Bachelor's,"$38,700 ","$65,300 "
367,Communication Design,Bachelor's,"$45,900 ","$65,200 "
368,Visual Communications,Bachelor's,"$40,300 ","$64,900 "
369,Educational Studies (ED),Bachelor's,"$35,400 ","$64,800 "
370,Illustration,Bachelor's,"$40,000 ","$64,600 "
371,Integrated Marketing Communications,Bachelor's,"$42,200 ","$64,400 "
372 (tie),Clinical Laboratory Science,Bachelor's,"$49,200 ","$64,100 "
372 (tie),Hospitality Management,Bachelor's,"$40,600 ","$64,100 "
372 (tie),Psychology & Sociology,Bachelor's,"$38,500 ","$64,100 "
372 (tie),Radio & Television,Bachelor's,"$38,600 ","$64,100 "
376,Respiratory Therapy,Bachelor's,"$47,400 ","$64,000 "
377,Media Arts,Bachelor's,"$41,700 ","$63,800 "
378 (tie),Music Technology,Bachelor's,"$39,700 ","$63,700 "
378 (tie),Professional Studies,Bachelor's,"$42,200 ","$63,700 "
380,Theater,Bachelor's,"$39,700 ","$63,500 "
381,Music Business,Bachelor's,"$38,200 ","$63,400 "
382 (tie),Interior Design,Bachelor's,"$39,700 ","$63,300 "
382 (tie),Music,Bachelor's,"$38,200 ","$63,300 "
382 (tie),Sociology,Bachelor's,"$40,700 ","$63,300 "
385 (tie),Anthropology,Bachelor's,"$40,500 ","$63,200 "
385 (tie),Small Business Management,Bachelor's,"$40,200 ","$63,200 "
387 (tie),Radiography,Bachelor's,"$50,100 ","$63,000 "
387 (tie),Secondary Education,Bachelor's,"$39,700 ","$63,000 "
389 (tie),Nutrition & Dietetics,Bachelor's,"$45,300 ","$62,900 "
389 (tie),Public Health (PH),Bachelor's,"$39,100 ","$62,900 "
389 (tie),Wildlife & Fisheries Science,Bachelor's,"$34,700 ","$62,900 "
392,Medical Technology,Bachelor's,"$50,000 ","$62,800 "
393,Liberal Studies,Bachelor's,"$39,500 ","$62,700 "
394 (tie),Technical Theatre,Bachelor's,"$36,100 ","$62,600 "
394 (tie),Video Production,Bachelor's,"$40,300 ","$62,600 "
396,Dietetics,Bachelor's,"$45,600 ","$62,500 "
397,"Hotel, Restaurant, and Institutional Management (HRIM)",Bachelor's,"$49,700 ","$62,400 "
398 (tie),Fine Arts,Bachelor's,"$38,200 ","$62,200 "
